rank,file,tag,months,share_pf_gt1,pf_median,pf_min,wr_median,dd_median
1,./out/rolling_A_24m_portA_micro8_s8-17_rr1.8_atrmin0.0008_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london8-17_atrmin0.0008_edge0.5.csv,portA_micro8_s8-17_rr1.8_atrmin0.0008_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london8-17_atrmin0.0008_edge0.5,24,0.08333333333333333,0.3272069263813418,0.081602037744408,36.666666666666664,-1.0698876060666884
2,./out/rolling_A_24m_portA_micro8_s7-18_rr1.8_atrmin0.0008_edge0.5_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london7-18_atrmin0.0008_edge0.5.csv,portA_micro8_s7-18_rr1.8_atrmin0.0008_edge0.5_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london7-18_atrmin0.0008_edge0.5,24,0.041666666666666664,0.40115558017501385,0.0567514889297331,41.95804195804196,-1.321316442942683
3,./out/rolling_A_24m_portA_micro8_s8-17_rr1.8_atrmin0.0008_edge0.5_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london8-17_atrmin0.0008_edge0.5.csv,portA_micro8_s8-17_rr1.8_atrmin0.0008_edge0.5_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london8-17_atrmin0.0008_edge0.5,24,0.041666666666666664,0.3615191768277414,0.0670648891912305,36.36363636363637,-1.1663497496246844
4,./out/rolling_A_24m_portA_micro8_s7-18_rr1.8_atrmin0.0008_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london7-18_atrmin0.0008_edge0.5.csv,portA_micro8_s7-18_rr1.8_atrmin0.0008_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london7-18_atrmin0.0008_edge0.5,24,0.041666666666666664,0.33424228716552185,0.0668255018140562,38.69047619047619,-1.1731721660623473
5,./out/rolling_A_24m_portA_micro8_s8-17_rr1.8_atrmin0.0008_edge0.6_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london8-17_atrmin0.0008_edge0.6.csv,portA_micro8_s8-17_rr1.8_atrmin0.0008_edge0.6_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london8-17_atrmin0.0008_edge0.6,24,0.041666666666666664,0.25594717498458175,0.081602037744408,38.88888888888889,-0.9638410639392414
6,./out/rolling_A_24m_portA_micro8_s7-18_rr1.8_atrmin0.0011_edge0.6_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london7-18_atrmin0.0011_edge0.6.csv,portA_micro8_s7-18_rr1.8_atrmin0.0011_edge0.6_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london7-18_atrmin0.0011_edge0.6,24,0.041666666666666664,0.1744147380423592,0.0,25.0,-0.6901689745951511
7,./out/rolling_A_24m_portA_micro8_s8-17_rr1.8_atrmin0.0011_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london8-17_atrmin0.0011_edge0.5.csv,portA_micro8_s8-17_rr1.8_atrmin0.0011_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london8-17_atrmin0.0011_edge0.5,24,0.041666666666666664,0.154652374128907,0.0,25.0,-0.6711605135585053
8,./out/rolling_A_24m_portA_micro8_s8-17_rr1.8_atrmin0.0011_edge0.6_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london8-17_atrmin0.0011_edge0.6.csv,portA_micro8_s8-17_rr1.8_atrmin0.0011_edge0.6_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london8-17_atrmin0.0011_edge0.6,24,0.041666666666666664,0.154652374128907,0.0,25.0,-0.7181724911907994
9,./out/rolling_A_24m_portA_micro8_s7-18_rr1.8_atrmin0.0011_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london7-18_atrmin0.0011_edge0.5.csv,portA_micro8_s7-18_rr1.8_atrmin0.0011_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london7-18_atrmin0.0011_edge0.5,24,0.041666666666666664,0.1535903512494955,0.0,25.0,-0.7461760077864477
10,./out/rolling_A_24m_portA_micro8_s8-17_rr1.5_atrmin0.0011_edge0.5_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london8-17_atrmin0.0011_edge0.5.csv,portA_micro8_s8-17_rr1.5_atrmin0.0011_edge0.5_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london8-17_atrmin0.0011_edge0.5,24,0.041666666666666664,0.12339382769552901,0.0,30.0,-0.7634223919371019
