month,trades,pf,winrate,dd,gp,gl
2023-09,4,0.16294139263737667,25.0,-0.6003594820876312,9.743739709823746,-59.74701106612876
2023-10,6,0.4583682345642941,33.33333333333333,-0.469908738461422,34.475409731826076,-75.37613517471996
2023-11,6,0.1502734857630361,16.666666666666664,-1.063810855256342,18.148225032172412,-121.49102526730321
2023-12,0,,,,0.0,0.0
2024-01,0,,,,0.0,0.0
2024-02,0,,,,0.0,0.0
2024-03,3,0.16602176605690225,33.33333333333333,-0.33951022414732135,6.748057902144144,-40.699080316875055
2024-04,7,0.3220007474828464,28.57142857142857,-0.9258075813695199,29.80651429803518,-92.83946281934372
2024-05,0,,,,0.0,0.0
2024-06,0,,,,0.0,0.0
2024-07,0,,,,0.0,0.0
2024-08,12,0.12166441634470479,16.666666666666664,-1.8600472996150863,23.981843180126866,-198.1832814801994
2024-09,0,,,,0.0,0.0
2024-10,0,,,,0.0,0.0
2024-11,0,,,,0.0,0.0
2024-12,9,0.3458076594529964,33.33333333333333,-0.7096258490196461,37.44326640214851,-108.40585130411667
2025-01,0,,,,0.0,0.0
2025-02,0,,,,0.0,0.0
2025-03,0,,,,0.0,0.0
2025-04,4,0.7916459211362853,25.0,-0.6625665289576532,38.34112702140506,-48.59031755807363
2025-05,10,0.061937047124702584,10.0,-2.13384934326708,14.081486659581895,-227.46642098629286
2025-06,0,,,,0.0,0.0
2025-07,0,,,,0.0,0.0
2025-08,0,,,,0.0,0.0
