month,trades,pf,winrate,dd,gp,gl
2023-09,5,0.13800632314795633,20.0,-0.7797396660555234,9.733170516082751,-70.48888287029125
2023-10,7,0.3272662135833441,28.57142857142857,-0.7706249394091147,34.45339769969883,-105.44414376596136
2023-11,8,0.21436928326083055,25.0,-1.0464621390750994,28.453740877569963,-133.0999547850816
2023-12,0,,,,0.0,0.0
2024-01,0,,,,0.0,0.0
2024-02,0,,,,0.0,0.0
2024-03,4,0.5938272181877751,50.0,-0.37272856845106395,24.17828657769625,-40.76858649662527
2024-04,7,0.4369679643823963,42.857142857142854,-0.5509895503747253,40.58496437038325,-93.12870944763338
2024-05,0,,,,0.0,0.0
2024-06,0,,,,0.0,0.0
2024-07,0,,,,0.0,0.0
2024-08,11,0.13629301437689748,18.181818181818183,-1.6491256973689805,23.999230391942447,-177.08432139432418
2024-09,0,,,,0.0,0.0
2024-10,0,,,,0.0,0.0
2024-11,0,,,,0.0,0.0
2024-12,6,0.8573228588874678,50.0,-0.4680075985277754,42.98603756617752,-50.233927674908706
2025-01,15,0.33618227343017265,20.0,-1.778717368390803,74.98406737440006,-223.5053884571424
2025-02,0,,,,0.0,0.0
2025-03,0,,,,0.0,0.0
2025-04,0,,,,0.0,0.0
2025-05,11,0.17446492919308154,27.27272727272727,-1.692626187797297,35.305644885932224,-203.09139185871672
2025-06,0,,,,0.0,0.0
2025-07,0,,,,0.0,0.0
2025-08,0,,,,0.0,0.0
