month,trades,pf,winrate,dd,gp,gl
2023-09,6,0.06682550181405626,16.666666666666664,-1.1704101839305592,7.698029249101648,-114.76390756197544
2023-10,9,0.3817310468103623,44.44444444444444,-0.9321589948325326,45.61451483440675,-119.7784113761157
2023-11,9,0.2140118164779653,33.33333333333333,-1.1759341481941354,31.89305077391479,-149.48646559332727
2023-12,0,,,,0.0,0.0
2024-01,0,,,,0.0,0.0
2024-02,0,,,,0.0,0.0
2024-03,6,0.2978825334911982,50.0,-0.5622616008254644,18.01734691475235,-60.48684370569564
2024-04,0,,,,0.0,0.0
2024-05,0,,,,0.0,0.0
2024-06,0,,,,0.0,0.0
2024-07,4,,100.0,-0.11937581850380852,29.229941267755134,0.0
2024-08,13,0.20172314221938584,30.76923076923077,-1.7324009354198089,41.2007583797274,-204.8752588120053
2024-09,0,,,,0.0,0.0
2024-10,0,,,,0.0,0.0
2024-11,0,,,,0.0,0.0
2024-12,15,0.9948227570596032,66.66666666666666,-0.5824742102938707,110.53505581298243,-111.2879604086512
2025-01,19,0.531089481601713,42.10526315789473,-1.9505149992778081,148.4852145814812,-280.8934042100558
2025-02,6,0.4464402123043891,50.0,-0.46970281424864035,35.62911174095112,-79.94198953759934
2025-03,18,0.22975139336899414,33.33333333333333,-2.3379710464834225,69.28099256820215,-303.07809721653655
2025-04,0,,,,0.0,0.0
2025-05,0,,,,0.0,0.0
2025-06,0,,,,0.0,0.0
2025-07,16,0.7488396050221254,56.25,-0.9672827050395405,130.54336331366147,-174.7563042969325
2025-08,14,0.06680536748597958,14.285714285714285,-2.828485862610053,20.315984838495236,-303.1645710994958
