month,trades,pf,winrate,dd,gp,gl
2023-09,5,0.09819974109009041,20.0,-0.8054732431556633,7.698029249101648,-78.23337940360874
2023-10,8,0.3638982592037523,37.5,-0.8871855246942228,39.695108828749255,-109.3518466159713
2023-11,9,0.16071675633986596,22.22222222222222,-1.2587352633492865,24.010945815127386,-149.88447215005422
2023-12,0,,,,0.0,0.0
2024-01,0,,,,0.0,0.0
2024-02,0,,,,0.0,0.0
2024-03,6,0.2978825334911982,50.0,-0.5622616008254644,18.01734691475235,-60.48684370569564
2024-04,0,,,,0.0,0.0
2024-05,0,,,,0.0,0.0
2024-06,0,,,,0.0,0.0
2024-07,4,1.8642933677999414,75.0,-0.1688620692660625,24.045034203019412,-12.91754089179851
2024-08,13,0.09306324602855928,15.384615384615385,-2.0001869246270343,19.417053752148963,-209.89625591750396
2024-09,0,,,,0.0,0.0
2024-10,0,,,,0.0,0.0
2024-11,0,,,,0.0,0.0
2024-12,13,0.43259173811990786,46.15384615384615,-0.9835571722934144,61.825996595983725,-142.8648331356522
2025-01,0,,,,0.0,0.0
2025-02,0,,,,0.0,0.0
2025-03,0,,,,0.0,0.0
2025-04,7,0.6503523320360066,28.57142857142857,-0.8059081815437463,47.109451313935686,-72.6157449540261
2025-05,0,,,,0.0,0.0
2025-06,0,,,,0.0,0.0
2025-07,0,,,,0.0,0.0
2025-08,16,0.03840668342938129,6.25,-2.900369566505212,11.62978456532876,-301.66674121584896
