month,trades,pf,winrate,dd
2023-10,0,,,-0.0
2023-11,2,0.0,0.0,-0.5015993820493114
2023-12,0,,,-0.0
2024-01,0,,,-0.0
2024-02,3,0.0,0.0,-0.7512537286081034
2024-03,1,,100.0,-0.0
2024-04,1,0.0,0.0,-0.24879587352221177
2024-05,0,,,-0.0
2024-06,1,0.0,0.0,-0.23310247950223406
2024-07,0,,,-0.0
2024-08,1,0.0,0.0,-0.23171479465163847
2024-09,0,,,-0.0
2024-10,1,0.0,0.0,-0.24854195512721278
2024-11,2,,100.0,-0.0
2024-12,0,,,-0.0
2025-01,4,0.4085099960332612,50.0,-0.5683531521782137
2025-02,1,0.0,0.0,-0.3038995082946694
2025-03,0,,,-0.0
2025-04,1,,100.0,-0.0
2025-05,1,0.0,0.0,-0.24405652001454614
2025-06,1,,100.0,-0.0072224317806734994
2025-07,1,0.0,0.0,-0.23264770128098577
2025-08,3,0.0,0.0,-0.9257868985925954
2025-09,0,,,-0.0
