month,trades,pf,winrate,dd
2023-10,1,0.0,0.0,-0.1242503784052551
2023-11,2,0.0,0.0,-0.34366808776644664
2023-12,1,,100.0,-0.0
2024-01,0,,,-0.0
2024-02,3,0.0,0.0,-0.45565628248006584
2024-03,1,,100.0,-0.0
2024-04,2,0.0,0.0,-0.2629052644973484
2024-05,1,,100.0,-0.0
2024-06,3,0.0,0.0,-0.37761537881871865
2024-07,1,,100.0,-0.03448974091813106
2024-08,4,0.0,0.0,-0.465116336811755
2024-09,1,0.0,0.0,-0.098214847130762
2024-10,1,0.0,0.0,-0.19901504291458538
2024-11,2,,100.0,-0.0
2024-12,1,,100.0,-0.0
2025-01,5,1.5902032851890475,60.0,-0.3592438198714243
2025-02,2,1.1543361352541508,50.0,-0.25435644441813565
2025-03,1,,100.0,-0.0
2025-04,1,,100.0,-0.0
2025-05,3,0.0,0.0,-0.49126038698845687
2025-06,2,,100.0,-0.0
2025-07,1,0.0,0.0,-0.13371072386335614
2025-08,3,0.0,0.0,-0.630079592502375
2025-09,1,0.0,0.0,-0.13153420487084233
