rank,file,tag,months,share_pf_gt1,pf_median,pf_min,wr_median,dd_median
1,./out/rolling_A_24m_G3_KILL_rsi18_bb2.0_atr1.2_risk0.5_london7-18_atrmin0.0005_edge0.5.csv,G3_KILL_rsi18_bb2.0_atr1.2_risk0.5_london7-18_atrmin0.0005_edge0.5,24,0.7083333333333334,1.245700774242132,0.2598003796147156,31.349206349206355,-0.9161723424975954
2,./out/rolling_A_24m_router_EURUSD_USDCHF_prev3m_median.csv,router_EURUSD_USDCHF_prev3m_median,24,0.7083333333333334,1.245700774242132,0.2598003796147156,31.349206349206355,-0.9161723424975954
3,./out/rolling_A_24m_router_EURUSD_USDCHF_prev_best.csv,router_EURUSD_USDCHF_prev_best,24,0.7083333333333334,1.245700774242132,0.2598003796147156,31.349206349206355,-0.9161723424975954
4,./out/rolling_A_24m_router_EURUSD_USDJPY_prev3m_median.csv,router_EURUSD_USDJPY_prev3m_median,24,0.7083333333333334,1.245700774242132,0.2598003796147156,31.349206349206355,-0.9161723424975954
5,./out/rolling_A_24m_router_EURUSD_USDJPY_prev_best.csv,router_EURUSD_USDJPY_prev_best,24,0.7083333333333334,1.245700774242132,0.2598003796147156,31.349206349206355,-0.9161723424975954
6,./out/rolling_A_24m_router_ruleA_prev_best.csv,router_ruleA_prev_best,24,0.7083333333333334,1.245700774242132,0.2598003796147156,31.349206349206355,-0.9161723424975954
7,./out/rolling_A_24m_router_ruleB_prev3m_median.csv,router_ruleB_prev3m_median,24,0.7083333333333334,1.245700774242132,0.2598003796147156,31.349206349206355,-0.9161723424975954
8,./out/rolling_A_24m_rsi18_bb2.0_atr1.2_risk0.5_london7-18_atrmin0.0005_edge0.5.csv,rsi18_bb2.0_atr1.2_risk0.5_london7-18_atrmin0.0005_edge0.5,24,0.7083333333333334,1.245700774242132,0.2598003796147156,31.349206349206355,-0.9161723424975954
9,./out/rolling_A_24m_rsi18_bb2.0_atr1.2_risk1_london7-18_atrmin0.0005_edge0.5.csv,rsi18_bb2.0_atr1.2_risk1_london7-18_atrmin0.0005_edge0.5,24,0.7083333333333334,1.245700774242132,0.2598003796147156,31.349206349206355,-0.9161723424975954
10,./out/rolling_A_24m_rsi18_bb2.0_atr1.2_risk0.5_london7-18_atrmin0.0007_edge0.5.csv,rsi18_bb2.0_atr1.2_risk0.5_london7-18_atrmin0.0007_edge0.5,24,0.7083333333333334,1.2385772047310017,0.2790219922740002,30.76923076923077,-0.7558553376537713
11,./out/rolling_A_24m_rsi18_bb2.0_atr1.2_risk1_london7-18_atrmin0.0007_edge0.5.csv,rsi18_bb2.0_atr1.2_risk1_london7-18_atrmin0.0007_edge0.5,24,0.7083333333333334,1.2385772047310017,0.2790219922740002,30.76923076923077,-0.7558553376537713
12,./out/rolling_A_24m_G3_KILL_rsi18_bb2.0_atr1.2_risk0.5_london8-17_atrmin0.0005_edge0.5.csv,G3_KILL_rsi18_bb2.0_atr1.2_risk0.5_london8-17_atrmin0.0005_edge0.5,24,0.7083333333333334,1.1067867424730047,0.2819934662021909,31.384615384615387,-0.82301012440682
13,./out/rolling_A_24m_rsi18_bb2.0_atr1.2_risk0.5_london8-17_atrmin0.0005_edge0.5.csv,rsi18_bb2.0_atr1.2_risk0.5_london8-17_atrmin0.0005_edge0.5,24,0.7083333333333334,1.1067867424730047,0.2819934662021909,31.384615384615387,-0.82301012440682
14,./out/rolling_A_24m_rsi18_bb2.0_atr1.2_risk1_london8-17_atrmin0.0005_edge0.5.csv,rsi18_bb2.0_atr1.2_risk1_london8-17_atrmin0.0005_edge0.5,24,0.7083333333333334,1.1067867424730047,0.2819934662021909,31.384615384615387,-0.82301012440682
15,./out/rolling_A_24m_router_EURUSD_USDJPY_pfprev_lt0.6.csv,router_EURUSD_USDJPY_pfprev_lt0.6,24,0.6666666666666666,1.2278338914221947,0.1975338018446997,31.349206349206355,-0.9161723424975954
16,./out/rolling_A_24m_router_EURUSD_GBPUSD_pfprev_lt0.6.csv,router_EURUSD_GBPUSD_pfprev_lt0.6,24,0.6666666666666666,1.2278338914221947,0.0191171567299442,30.27777777777778,-0.9161723424975954
17,./out/rolling_A_24m_router_EURUSD_USDCHF_pfprev_lt0.6.csv,router_EURUSD_USDCHF_pfprev_lt0.6,24,0.6666666666666666,1.2278338914221947,0.0,30.27777777777778,-0.9161723424975954
18,./out/rolling_A_24m_G4_BE_rsi18_bb2.0_atr1.2_risk0.5_london7-18_atrmin0.0005_edge0.5.csv,G4_BE_rsi18_bb2.0_atr1.2_risk0.5_london7-18_atrmin0.0005_edge0.5,24,0.6666666666666666,1.227735287046527,0.0895616194936885,21.964285714285715,-0.8580629299749509
19,./out/rolling_A_24m_rsi18_bb2.0_atr1.2_risk0.5_london7-18_atrmin0.0007_edge1.csv,rsi18_bb2.0_atr1.2_risk0.5_london7-18_atrmin0.0007_edge1,24,0.625,1.3689431525027347,0.0,33.33333333333333,-0.6316910042030721
