month,trades,pf,winrate,dd,gp,gl
2023-09,147,0.1196371611957911,17.687074829931973,-15.917304278299692,210.442781820711,-1786.599135596022
2023-10,151,0.16403552296021,20.52980132450331,-15.743996643804348,306.02514993139175,-1867.1549343827787
2023-11,142,0.13219029729248197,16.19718309859155,-15.77316906263726,242.75727289284063,-1811.5566439187958
2023-12,140,0.14170478201742498,17.857142857142858,-15.12483907610498,249.90156359130717,-1762.3854712018133
2024-01,175,0.13116511007179035,17.71428571428571,-17.753583709013256,263.351578155621,-2036.376703946953
2024-02,145,0.10901105776384247,18.620689655172416,-14.329456091656013,177.85176049449055,-1584.329425055091
2024-03,132,0.08908243942570067,17.424242424242426,-12.64856153242927,123.49725678420306,-1388.3534100271347
2024-04,146,0.13301431567321773,20.54794520547945,-13.972827887544648,214.0244429852297,-1595.3918548796892
2024-05,160,0.07163938944366861,13.750000000000002,-16.0664441407246,124.06589851958815,-1730.710312592043
2024-06,136,0.13272710711308228,16.911764705882355,-12.582650158590425,194.13724304057067,-1452.4022588996086
2024-07,164,0.034196729844933244,12.195121951219512,-17.8446658915965,63.76494333527564,-1847.134439480836
2024-08,147,0.09810771915038255,15.646258503401361,-14.970071697042364,167.43952082946697,-1658.8797031349343
2024-09,138,0.09448990781444645,16.666666666666664,-14.750876281037362,151.1291932600105,-1626.2168213637335
2024-10,161,0.07359335126643822,13.043478260869565,-17.04313757626298,133.84560949562655,-1838.1593671219305
2024-11,153,0.2400735650169855,22.875816993464053,-15.388936363695427,492.6960138533469,-2030.6299283328942
2024-12,135,0.13121632864740485,17.037037037037038,-15.72625043841015,231.8954498359437,-1790.905571169474
2025-01,127,0.23656226378617046,22.83464566929134,-13.485314351592548,419.67301857864913,-1768.2044537379024
2025-02,115,0.22581082819894213,23.47826086956522,-11.407828424115973,331.21502613286754,-1451.7048728137502
2025-03,152,0.18530740639148044,23.684210526315788,-16.251966683547113,376.88760601928635,-1982.794296077047
2025-04,153,0.2765938540928139,20.915032679738562,-19.21518514516829,744.5290929486337,-2663.592977783979
2025-05,137,0.2692105578394433,27.00729927007299,-13.588175373109724,497.7820518204731,-1854.390611890919
2025-06,142,0.17081791553336895,21.12676056338028,-15.70475575841156,319.3186946682382,-1878.15256828549
2025-07,172,0.15219907483960413,22.093023255813954,-17.634741109683294,311.6972278714904,-2075.171338839811
2025-08,115,0.2540691902145325,27.82608695652174,-9.873884745423267,326.65438652709895,-1274.5536635062447
