month,trades,pf,winrate,dd,gp,gl
2023-09,0,,,-0.0,,
2023-10,2,0.0,0.0,-0.32838569670766704,0.0,-31.963871670766082
2023-11,3,1.1239305644795292,66.66666666666666,-0.3269452813248641,22.857174723392923,-20.51553836125835
2023-12,4,0.0,0.0,-0.9298790819003977,0.0,-92.98790819004009
2024-01,1,0.0,0.0,-0.24557931802277055,0.0,-24.557931802277874
2024-02,3,0.48927689174779854,33.33333333333333,-0.49071513071428097,17.396789891564417,-35.808721205710064
2024-03,2,0.0,0.0,-0.3664995323966136,0.0,-36.64995323966037
2024-04,4,0.0,0.0,-0.6344033369044322,0.0,-63.44033369044618
2024-05,3,0.0,0.0,-0.584830751087051,0.0,-58.48307510870311
2024-06,2,1.2206068465962032,50.0,-0.3661506669109249,21.78152221198352,-17.886900726543374
2024-07,3,0.0,0.0,-0.7948654845312042,0.0,-79.48654845311971
2024-08,1,0.0,0.0,-0.19414871700353942,0.0,-19.414871700354723
2024-09,1,,100.0,-0.1277596705108741,35.39492968505582,0.0
2024-10,1,,100.0,-0.17841580516398947,21.171820416849503,0.0
2024-11,1,0.0,0.0,-0.27060240607226227,0.0,-27.06024060722611
2024-12,1,,100.0,-0.03339527583579027,1.4169198726740433,0.0
2025-01,1,0.0,0.0,-0.3890774234901029,0.0,-11.830317101468605
2025-02,1,0.0,0.0,-0.2880605645049439,0.0,-4.318232037861925
2025-03,1,,100.0,-0.10071659350349149,17.016612702678938,0.0
2025-04,1,0.0,0.0,-0.2210902022495631,0.0,-22.10902022495648
2025-05,3,,100.0,-0.2550175996238857,126.08002189742028,0.0
2025-06,1,,100.0,-0.18452543525060427,26.188853026818727,0.0
2025-07,3,0.33703143321401324,33.33333333333333,-0.6496601686130088,20.25103809621059,-59.808982460338314
2025-08,1,,100.0,-0.22380775532914177,18.915893701973225,0.0
