Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry__atr(H,L,C,14)","Exit__atr(H,L,C,14)","Entry__ema(C,50)","Exit__ema(C,50)","Entry__ema(C,200)","Exit__ema(C,200)"
-8372,237,238,1.1823117851847784,1.1835068780671638,1.1835068780671638,1.179199365798509,-10.005317611330533,0.0,-0.0010108102594938995,2020-09-03 09:15:00+00:00,2020-09-03 09:30:00+00:00,0 days 00:15:00,C_short,0.0011186276582085262,0.0011161439704474028,1.1825460355050763,1.1825689360735048,1.186950347709958,1.1869123342999088
-8365,240,250,1.1821917961671515,1.1834619914410542,1.1834619914410542,1.178814025676837,-10.625183466196152,0.0,-0.0010744409477556616,2020-09-03 10:00:00+00:00,2020-09-03 12:30:00+00:00,0 days 02:30:00,C_short,0.0011083925822471749,0.0012542821450945325,1.182543158597649,1.1822186637079517,1.1868197096757676,1.186317079095264
-8356,262,264,1.1821817970823496,1.1836527230392506,1.1836527230392506,1.1781218308822479,-12.291057295864878,0.0,-0.0012442468328739409,2020-09-03 15:30:00+00:00,2020-09-03 16:00:00+00:00,0 days 00:30:00,C_short,0.0012930266340172739,0.001304895560661849,1.182718107926811,1.1827778535687326,1.186006555018883,1.1859566744709982
-8333,296,296,1.1840216286859588,1.184521868646539,1.184521868646539,1.182914394060383,-4.168499591515139,0.0,-0.00042249224884116643,2020-09-04 00:00:00+00:00,2020-09-04 00:00:00+00:00,0 days 00:00:00,C_short,0.0004469528270004754,0.0004469528270004754,1.1842270958461576,1.1842270958461576,1.1856372319492776,1.1856372319492776
-8329,308,309,1.1840016305163545,1.1846978550640677,1.1846978550640677,1.182346434807797,-5.798854257902578,0.0,-0.0005880266798361511,2020-09-04 03:00:00+00:00,2020-09-04 03:15:00+00:00,0 days 00:15:00,C_short,0.0005894743888586327,0.0005762111370107988,1.1845296949951376,1.1845375500933675,1.185569545940661,1.1855611922497094
-8323,322,326,1.1841916131275967,1.1848269336507153,1.1848269336507153,1.182639199047854,-5.28777271391656,0.0,-0.0005365014547271674,2020-09-04 06:30:00+00:00,2020-09-04 07:30:00+00:00,0 days 01:00:00,C_short,0.0005566758306200004,0.0007890713757696301,1.1846283601123753,1.1845243947584385,1.1854657993155517,1.185405313729434
-8317,339,341,1.184421592078048,1.1853987152666268,1.1853987152666268,1.1818838542001198,-8.126733559408855,0.0,-0.0008249792093577568,2020-09-04 10:45:00+00:00,2020-09-04 11:15:00+00:00,0 days 00:30:00,C_short,0.0008695532310764513,0.0008708199824529683,1.184714707692674,1.1847261873010808,1.1853540489138172,1.1853442858106502
-8312,343,343,1.1841316186187834,1.185165377318126,1.185165377318126,1.181543868045622,-8.592602308936906,0.0,-0.0008730099619740361,2020-09-04 11:45:00+00:00,2020-09-04 11:45:00+00:00,0 days 00:00:00,C_short,0.0009459936757091183,0.0009459936757091183,1.184692301310994,1.184692301310994,1.185323312848384,1.185323312848384
-8311,392,394,1.1833116936650008,1.183899858536283,1.183899858536283,1.1819804243911507,-4.88823824522649,0.0,-0.0004970498258667355,2020-09-07 00:00:00+00:00,2020-09-07 00:30:00+00:00,0 days 00:30:00,C_short,0.0004692107314453407,0.0004702960605078283,1.1836848657701184,1.183681331301059,1.1844780303180225,1.184461356368011
-8305,396,422,1.1834816781066386,1.1841142565857734,1.1841142565857734,1.1820572302426797,-5.253564269214365,0.0,-0.000534506355980735,2020-09-07 01:00:00+00:00,2020-09-07 07:30:00+00:00,0 days 06:30:00,C_short,0.0005123557076703365,0.0006809091549309747,1.1836848813740264,1.1834570195174747,1.1844467877906393,1.1841959045427448
