2025-08-17 22:07:56,729 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:07:56,734 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:07:56,735 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:07:56,739 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $0.00 from production_bot.log
2025-08-17 22:07:56,741 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:07:56,743 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:07:56,745 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:07:56,746 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:07:56,748 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:07:56,750 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:07:56,752 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:07:56,753 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:07:56,755 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:07:56,756 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:07:56,758 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:07:56,760 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
