2025-08-19 00:14:51,531 | INFO     | ProductionBot | ============================================================
2025-08-19 00:14:51,533 | INFO     | ProductionBot | 🚀 ЗАПУСК PRODUCTION ARBITRAGE BOT v1.0.0
2025-08-19 00:14:51,536 | INFO     | ProductionBot | 📅 Время: 2025-08-19 00:14:51
2025-08-19 00:14:51,537 | INFO     | ProductionBot | 💼 Режим: DEMO
2025-08-19 00:14:51,541 | INFO     | ProductionBot | 💰 Мин. прибыль: 0.05%
2025-08-19 00:14:51,546 | INFO     | ProductionBot | ============================================================
2025-08-19 00:14:51,548 | INFO     | ProductionBot | 🔧 Инициализация...
2025-08-19 00:14:51,550 | INFO     | ProductionBot | 🔍 Поиск торговых пар...
2025-08-19 00:14:52,190 | INFO     | ProductionBot | ✅ MEXC: 100 пар
2025-08-19 00:14:52,914 | INFO     | ProductionBot | ✅ Bybit: 100 пар
2025-08-19 00:14:53,860 | INFO     | ProductionBot | ✅ Huobi: 100 пар
2025-08-19 00:14:53,864 | INFO     | ProductionBot | ✅ Binance: 8 пар
2025-08-19 00:14:53,878 | INFO     | ProductionBot | ✅ OKX: 8 пар
2025-08-19 00:14:53,880 | INFO     | ProductionBot | ✅ KuCoin: 8 пар
2025-08-19 00:14:53,884 | INFO     | ProductionBot | ✅ Kraken: 8 пар
2025-08-19 00:14:53,885 | INFO     | ProductionBot | 📊 Найдено 27 активных пар для арбитража
2025-08-19 00:14:53,887 | INFO     | ProductionBot | ✅ Инициализация завершена. Активных пар: 27
2025-08-19 00:14:53,888 | INFO     | TradingEngine | 🚀 Запуск торгового движка
2025-08-19 00:14:53,891 | INFO     | TradingEngine | Инициализация клиента MEXC
2025-08-19 00:14:53,892 | INFO     | TradingEngine | Инициализация клиента Bybit
2025-08-19 00:14:53,894 | INFO     | TradingEngine | Инициализация клиента Huobi
2025-08-19 00:14:53,895 | INFO     | TradingEngine | ✅ Балансы обновлены
2025-08-19 00:14:53,896 | INFO     | WSManager    | 🚀 Запуск WebSocket для 27 символов
2025-08-19 00:14:53,898 | WARNING  | WSManager    | ⚠️ MEXC WebSocket отключен - используется REST API
2025-08-19 00:14:53,899 | INFO     | ProductionBot | 🔍 Запуск сканера арбитража...
2025-08-19 00:14:53,900 | INFO     | ProductionBot | 💼 Запуск исполнителя сделок...
2025-08-19 00:14:54,975 | INFO     | WSManager    | ✅ Bybit WebSocket подключен
2025-08-19 00:14:55,296 | INFO     | WSManager    | ✅ Binance WebSocket подключен
2025-08-19 00:14:55,297 | INFO     | WSManager    | 📡 Binance подписался на 54 потоков
2025-08-19 00:14:55,302 | INFO     | WSManager    | ✅ Huobi WebSocket подключен
2025-08-19 00:14:55,730 | INFO     | WSManager    | ✅ OKX WebSocket подключен
2025-08-19 00:14:55,732 | INFO     | WSManager    | 📡 OKX подписался на 54 каналов
2025-08-19 00:14:56,040 | INFO     | WSManager    | ✅ Kraken WebSocket подключен
2025-08-19 00:14:56,042 | INFO     | WSManager    | 📡 Kraken подписался на 27 пар
2025-08-19 00:14:56,272 | INFO     | WSManager    | ✅ KuCoin WebSocket подключен
2025-08-19 00:14:59,199 | INFO     | WSManager    | 📡 KuCoin подписался на 54 топиков
2025-08-19 00:15:59,765 | INFO     | ProductionBot | ==================================================
2025-08-19 00:15:59,813 | INFO     | ProductionBot | 📊 СТАТИСТИКА РАБОТЫ
2025-08-19 00:15:59,815 | INFO     | ProductionBot | ⏱️ Время работы: 1.1 мин
2025-08-19 00:15:59,820 | INFO     | ProductionBot | 🔍 Сканирований: 60
2025-08-19 00:15:59,827 | INFO     | ProductionBot | 💎 Найдено возможностей: 0
2025-08-19 00:15:59,835 | INFO     | ProductionBot | 💼 Исполнено сделок: 0
2025-08-19 00:15:59,839 | INFO     | ProductionBot | 📨 WebSocket сообщений: 16326
2025-08-19 00:15:59,846 | INFO     | ProductionBot | ❌ Ошибок: 0
2025-08-19 00:15:59,858 | INFO     | ProductionBot | 🔌 Подключено бирж: 7
2025-08-19 00:15:59,860 | INFO     | ProductionBot | 💰 Прибыль: $0.00 (0.000%)
2025-08-19 00:15:59,861 | INFO     | ProductionBot | 📦 Объем торгов: $0.00
2025-08-19 00:15:59,862 | INFO     | ProductionBot | ==================================================
2025-08-19 00:17:05,553 | INFO     | ProductionBot | ==================================================
2025-08-19 00:17:05,555 | INFO     | ProductionBot | 📊 СТАТИСТИКА РАБОТЫ
2025-08-19 00:17:05,556 | INFO     | ProductionBot | ⏱️ Время работы: 2.2 мин
2025-08-19 00:17:05,557 | INFO     | ProductionBot | 🔍 Сканирований: 120
2025-08-19 00:17:05,558 | INFO     | ProductionBot | 💎 Найдено возможностей: 0
2025-08-19 00:17:05,559 | INFO     | ProductionBot | 💼 Исполнено сделок: 0
2025-08-19 00:17:05,559 | INFO     | ProductionBot | 📨 WebSocket сообщений: 32983
2025-08-19 00:17:05,560 | INFO     | ProductionBot | ❌ Ошибок: 0
2025-08-19 00:17:05,561 | INFO     | ProductionBot | 🔌 Подключено бирж: 7
2025-08-19 00:17:05,562 | INFO     | ProductionBot | 💰 Прибыль: $0.00 (0.000%)
2025-08-19 00:17:05,563 | INFO     | ProductionBot | 📦 Объем торгов: $0.00
2025-08-19 00:17:05,564 | INFO     | ProductionBot | ==================================================
2025-08-19 00:18:08,527 | INFO     | ProductionBot | ==================================================
