начало теста    01.08.2025 14:13:30
1-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
2-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
3-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
4-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
5-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
6-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
7-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
8-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
9-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
10-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
11-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
12-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
13-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
14-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
15-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
16-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
17-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
18-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
19-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
20-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
21-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
22-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
23-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
24-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
25-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
26-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
27-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
28-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
29-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
30-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
31-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
32-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
33-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
34-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
35-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
36-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
37-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
38-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
39-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
40-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
41-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
42-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
43-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
44-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
45-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
46-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
47-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
48-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
49-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
50-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
51-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
