2025-08-07 01:43:34,101 - PAPER_TRADE; GROSS: +0.0249%; NET: -0.1999%; BALANCE: $10.98
2025-08-07 01:43:36,995 - PAPER_TRADE; GROSS: +0.0249%; NET: -0.1999%; BALANCE: $10.96
2025-08-07 01:43:39,889 - PAPER_TRADE; GROSS: +0.0249%; NET: -0.1999%; BALANCE: $10.93
2025-08-07 01:43:42,782 - PAPER_TRADE; GROSS: +0.0249%; NET: -0.1999%; BALANCE: $10.91
2025-08-07 01:43:46,179 - PAPER_TRADE; GROSS: +0.0249%; NET: -0.1999%; BALANCE: $10.89
2025-08-07 01:43:49,544 - PAPER_TRADE; GROSS: +0.0165%; NET: -0.2083%; BALANCE: $10.87
2025-08-07 02:23:25,694 - PAPER_TRADE; GROSS: +0.0195%; NET: -0.2053%; BALANCE: $10.85
2025-08-07 02:35:38,125 - PAPER_TRADE; GROSS: +0.0205%; NET: -0.2044%; BALANCE: $10.82
2025-08-07 02:57:32,102 - PAPER_TRADE; GROSS: +0.0109%; NET: -0.2139%; BALANCE: $10.80
2025-08-07 02:57:34,999 - PAPER_TRADE; GROSS: +0.0109%; NET: -0.2139%; BALANCE: $10.78
2025-08-07 02:57:37,901 - PAPER_TRADE; GROSS: +0.0109%; NET: -0.2139%; BALANCE: $10.75
2025-08-07 02:58:19,035 - PAPER_TRADE; GROSS: +0.0109%; NET: -0.2139%; BALANCE: $10.73
2025-08-07 03:08:37,098 - PAPER_TRADE; GROSS: +0.0293%; NET: -0.1955%; BALANCE: $10.71
2025-08-07 03:08:42,888 - PAPER_TRADE; GROSS: +0.0461%; NET: -0.1787%; BALANCE: $10.69
2025-08-07 03:09:22,090 - PAPER_TRADE; GROSS: +0.0205%; NET: -0.2043%; BALANCE: $10.67
2025-08-07 03:09:40,075 - PAPER_TRADE; GROSS: +0.0503%; NET: -0.1745%; BALANCE: $10.65
2025-08-07 03:09:42,969 - PAPER_TRADE; GROSS: +0.0503%; NET: -0.1745%; BALANCE: $10.63
2025-08-07 03:09:45,865 - PAPER_TRADE; GROSS: +0.0503%; NET: -0.1745%; BALANCE: $10.61
2025-08-07 03:09:48,762 - PAPER_TRADE; GROSS: +0.0503%; NET: -0.1745%; BALANCE: $10.59
2025-08-07 03:09:51,657 - PAPER_TRADE; GROSS: +0.0503%; NET: -0.1745%; BALANCE: $10.58
2025-08-07 03:09:54,554 - PAPER_TRADE; GROSS: +0.0503%; NET: -0.1745%; BALANCE: $10.56
2025-08-07 03:09:57,917 - PAPER_TRADE; GROSS: +0.0503%; NET: -0.1745%; BALANCE: $10.54
2025-08-07 03:10:01,290 - PAPER_TRADE; GROSS: +0.0503%; NET: -0.1745%; BALANCE: $10.52
2025-08-07 03:10:04,184 - PAPER_TRADE; GROSS: +0.0503%; NET: -0.1745%; BALANCE: $10.50
2025-08-07 03:10:07,707 - PAPER_TRADE; GROSS: +0.0208%; NET: -0.2041%; BALANCE: $10.48
2025-08-07 03:10:13,974 - PAPER_TRADE; GROSS: +0.0249%; NET: -0.1999%; BALANCE: $10.46
2025-08-07 03:10:17,337 - PAPER_TRADE; GROSS: +0.0249%; NET: -0.1999%; BALANCE: $10.44
2025-08-07 03:10:20,232 - PAPER_TRADE; GROSS: +0.0165%; NET: -0.2084%; BALANCE: $10.42
2025-08-07 03:10:32,284 - PAPER_TRADE; GROSS: +0.0165%; NET: -0.2084%; BALANCE: $10.40
2025-08-07 03:10:41,566 - PAPER_TRADE; GROSS: +0.0123%; NET: -0.2125%; BALANCE: $10.37
2025-08-07 03:10:44,463 - PAPER_TRADE; GROSS: +0.0123%; NET: -0.2125%; BALANCE: $10.35
2025-08-07 03:10:47,357 - PAPER_TRADE; GROSS: +0.0123%; NET: -0.2125%; BALANCE: $10.33
2025-08-07 03:13:05,933 - PAPER_TRADE; GROSS: +0.0165%; NET: -0.2084%; BALANCE: $10.31
2025-08-07 03:14:17,140 - PAPER_TRADE; GROSS: +0.0296%; NET: -0.1953%; BALANCE: $10.29
2025-08-07 03:14:20,038 - PAPER_TRADE; GROSS: +0.0126%; NET: -0.2122%; BALANCE: $10.27
2025-08-07 03:16:59,900 - PAPER_TRADE; GROSS: +0.0211%; NET: -0.2037%; BALANCE: $10.25
2025-08-07 03:23:26,507 - PAPER_TRADE; GROSS: +0.0105%; NET: -0.2144%; BALANCE: $10.22
2025-08-07 03:23:29,395 - PAPER_TRADE; GROSS: +0.0189%; NET: -0.2059%; BALANCE: $10.20
2025-08-07 03:23:32,282 - PAPER_TRADE; GROSS: +0.0274%; NET: -0.1974%; BALANCE: $10.18
2025-08-07 03:23:35,154 - PAPER_TRADE; GROSS: +0.0189%; NET: -0.2059%; BALANCE: $10.16
2025-08-07 03:24:53,203 - PAPER_TRADE; GROSS: +0.0139%; NET: -0.2109%; BALANCE: $10.14
2025-08-07 03:29:41,888 - PAPER_TRADE; GROSS: +0.0116%; NET: -0.2133%; BALANCE: $10.12
2025-08-07 03:29:44,783 - PAPER_TRADE; GROSS: +0.0116%; NET: -0.2133%; BALANCE: $10.10
2025-08-07 03:29:47,674 - PAPER_TRADE; GROSS: +0.0116%; NET: -0.2133%; BALANCE: $10.08
2025-08-07 03:29:50,568 - PAPER_TRADE; GROSS: +0.0109%; NET: -0.2139%; BALANCE: $10.05
2025-08-07 03:29:54,135 - PAPER_TRADE; GROSS: +0.0194%; NET: -0.2054%; BALANCE: $10.03
2025-08-07 03:29:57,027 - PAPER_TRADE; GROSS: +0.0279%; NET: -0.1970%; BALANCE: $10.01
