2025-08-01 13:41:42 | SELL_BTC_IN_MIDDLE | Profit: 0.1086% | Status: SUCCESS (DEMO) | Details: Profit: 0.0163 USDT
2025-08-01 13:41:48 | SELL_BTC_IN_MIDDLE | Profit: 0.1053% | Status: SUCCESS (DEMO) | Details: Profit: 0.0158 USDT
2025-08-01 13:41:54 | SELL_BTC_IN_MIDDLE | Profit: 0.1138% | Status: SUCCESS (DEMO) | Details: Profit: 0.0171 USDT
2025-08-01 13:42:00 | SELL_BTC_IN_MIDDLE | Profit: 0.1233% | Status: SUCCESS (DEMO) | Details: Profit: 0.0185 USDT
2025-08-01 13:43:57 | SELL_BTC_IN_MIDDLE | Profit: 0.1278% | Status: SUCCESS (DEMO) | Details: Profit: 0.0192 USDT
2025-08-01 13:44:21 | SELL_BTC_IN_MIDDLE | Profit: 0.1224% | Status: SUCCESS (DEMO) | Details: Profit: 0.0184 USDT
2025-08-01 13:44:28 | SELL_BTC_IN_MIDDLE | Profit: 0.1224% | Status: SUCCESS (DEMO) | Details: Profit: 0.0184 USDT
2025-08-01 13:44:34 | SELL_BTC_IN_MIDDLE | Profit: 0.1415% | Status: SUCCESS (DEMO) | Details: Profit: 0.0212 USDT
2025-08-01 13:44:40 | SELL_BTC_IN_MIDDLE | Profit: 0.1414% | Status: SUCCESS (DEMO) | Details: Profit: 0.0212 USDT
2025-08-01 13:44:46 | SELL_BTC_IN_MIDDLE | Profit: 0.1415% | Status: SUCCESS (DEMO) | Details: Profit: 0.0212 USDT
2025-08-01 13:44:58 | SELL_BTC_IN_MIDDLE | Profit: 0.1224% | Status: SUCCESS (DEMO) | Details: Profit: 0.0184 USDT
2025-08-01 13:45:04 | SELL_BTC_IN_MIDDLE | Profit: 0.1240% | Status: SUCCESS (DEMO) | Details: Profit: 0.0186 USDT
2025-08-01 13:45:10 | SELL_BTC_IN_MIDDLE | Profit: 0.1335% | Status: SUCCESS (DEMO) | Details: Profit: 0.0200 USDT
2025-08-01 13:45:17 | SELL_BTC_IN_MIDDLE | Profit: 0.1430% | Status: SUCCESS (DEMO) | Details: Profit: 0.0215 USDT
2025-08-01 13:45:23 | SELL_BTC_IN_MIDDLE | Profit: 0.1657% | Status: SUCCESS (DEMO) | Details: Profit: 0.0249 USDT
2025-08-01 13:45:29 | SELL_BTC_IN_MIDDLE | Profit: 0.1857% | Status: SUCCESS (DEMO) | Details: Profit: 0.0279 USDT
2025-08-01 13:45:35 | SELL_BTC_IN_MIDDLE | Profit: 0.2011% | Status: SUCCESS (DEMO) | Details: Profit: 0.0302 USDT
2025-08-01 13:45:42 | SELL_BTC_IN_MIDDLE | Profit: 0.2011% | Status: SUCCESS (DEMO) | Details: Profit: 0.0302 USDT
2025-08-01 13:45:48 | SELL_BTC_IN_MIDDLE | Profit: 0.2108% | Status: SUCCESS (DEMO) | Details: Profit: 0.0316 USDT
2025-08-01 13:45:54 | SELL_BTC_IN_MIDDLE | Profit: 0.2679% | Status: SUCCESS (DEMO) | Details: Profit: 0.0402 USDT
2025-08-01 13:46:00 | SELL_BTC_IN_MIDDLE | Profit: 0.2630% | Status: SUCCESS (DEMO) | Details: Profit: 0.0395 USDT
2025-08-01 13:46:06 | SELL_BTC_IN_MIDDLE | Profit: 0.2789% | Status: SUCCESS (DEMO) | Details: Profit: 0.0418 USDT
